Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug_lo|beta	drug_lo|z	drug_lo|p-value	drug_lo|fdr	drug_lo|wald-p-value	drug_lo|wald-fdr	drug_hi|beta	drug_hi|z	drug_hi|p-value	drug_hi|fdr	drug_hi|wald-p-value	drug_hi|wald-fdr
ATP6V0A1	4	-0.087605	-0.69628	0.53045	0.95286	0.48625	0.93046	0.30123	2.3532	0.072692	0.56061	0.018612	0.18595	0.23365	1.8253	0.24361	0.94521	0.067955	0.30215
ATR	4	0.32568	1.6034	0.0058939	0.17647	0.10885	0.76907	-1.0305	-4.9812	0	0	6.3177e-07	1.9654e-05	-1.4116	-6.823	0	0	8.9159e-12	2.1611e-10
ATRAID	4	0.0016973	0.014042	0.98625	0.99406	0.9888	0.99722	-0.094474	-0.76819	0.57367	0.99214	0.44238	0.77378	-0.01838	-0.14945	0.91356	0.98144	0.8812	0.94059
ATRIP	4	0.047385	0.20639	0.68173	0.98133	0.83648	0.99722	-1.1965	-5.1235	0	0	2.9992e-07	1.2722e-05	-1.8445	-7.8976	0	0	2.8436e-15	1.1134e-13
ATRX	4	-0.022196	-0.18869	0.85462	0.98684	0.85033	0.99722	-0.17824	-1.4897	0.37132	0.99214	0.13631	0.48518	-0.20014	-1.6727	0.39489	0.94521	0.094383	0.38014
ATXN1L	4	0.26154	1.8687	0.031434	0.51515	0.061663	0.71332	-0.12514	-0.87884	0.48723	0.99214	0.37949	0.7359	-0.149	-1.0464	0.48134	0.94521	0.29538	0.61375
ATXN2	4	0.29298	1.5467	0.017682	0.47368	0.12194	0.76907	-0.029379	-0.15237	0.85658	0.99214	0.87889	0.98256	0.032432	0.16821	0.88016	0.98144	0.86642	0.93632
ATXN7	4	0.065373	0.60916	0.58939	0.95899	0.54242	0.94911	-0.012165	-0.1114	0.95088	0.99214	0.9113	0.98655	0.10963	1.0039	0.53045	0.94521	0.31542	0.62543
AUNIP	4	0.043227	0.40188	0.71906	0.98133	0.68777	0.98607	0.071056	0.64935	0.6778	0.99214	0.51611	0.82871	-0.012433	-0.11362	0.93517	0.98144	0.90954	0.94988
AURKA	4	-0.009954	-0.087232	0.91945	0.99406	0.93049	0.99722	0.026955	0.23221	0.88802	0.99214	0.81637	0.96453	0.024455	0.21068	0.91356	0.98144	0.83314	0.91954
AURKC	4	-0.057705	-0.48321	0.6778	0.98133	0.62895	0.98139	0.024893	0.2049	0.89784	0.99214	0.83765	0.96463	0.086747	0.71404	0.62868	0.94521	0.4752	0.72659
AVPI1	4	-0.14423	-1.0001	0.34971	0.92273	0.31726	0.86049	0.0046431	0.03165	0.99018	0.99214	0.97475	0.99218	0.085586	0.58341	0.63261	0.94521	0.55962	0.7847
AXIN2	4	-0.021128	-0.14763	0.86248	0.98684	0.88264	0.99722	0.2751	1.8892	0.11591	0.84211	0.058866	0.32926	0.15761	1.0824	0.3831	0.94521	0.27908	0.601
AXL	4	0.26465	1.5635	0.02947	0.51515	0.11793	0.76907	-0.11742	-0.68177	0.51081	0.99214	0.49538	0.81077	0.12225	0.70982	0.48527	0.94521	0.47782	0.72659
AZI1	4	-0.023975	-0.2051	0.84086	0.98684	0.8375	0.99722	0.25552	2.1479	0.13556	0.85185	0.031719	0.24097	0.13158	1.1061	0.45187	0.94521	0.26869	0.59942
B9D2	4	-0.078269	-0.85642	0.57564	0.95899	0.39176	0.88898	0.019361	0.20824	0.9332	0.99214	0.83504	0.96453	0.24755	2.6626	0.20825	0.94521	0.0077539	0.066894
BABAM1	4	-0.021046	-0.18288	0.86248	0.98684	0.85489	0.99722	-0.010309	-0.088054	0.95285	0.99214	0.92983	0.98655	-0.015391	-0.13147	0.92534	0.98144	0.8954	0.94182
BACH1	4	-0.051873	-0.48203	0.7053	0.98133	0.62978	0.98139	0.25762	2.3528	0.1336	0.85185	0.018632	0.18595	0.082189	0.75062	0.64244	0.94521	0.45288	0.72045
BACH2	4	-0.098018	-1.0568	0.49705	0.95286	0.29058	0.84315	-0.048276	-0.51039	0.76424	0.99214	0.60978	0.87926	0.022857	0.2417	0.92338	0.98144	0.80901	0.90874
BAIAP2	4	0.013901	0.14506	0.91749	0.99406	0.88466	0.99722	0.15085	1.5466	0.36149	0.99214	0.12196	0.47024	0.10199	1.0456	0.55403	0.94521	0.29575	0.61375
BAIAP2L1	4	0.014748	0.13013	0.91159	0.99406	0.89647	0.99722	0.11283	0.97864	0.48723	0.99214	0.32776	0.70096	0.12564	1.0897	0.47544	0.94521	0.27584	0.59991
BARD1	4	0.15354	0.66893	0.20825	0.82946	0.50354	0.93537	-1.1543	-4.9421	0	0	7.7269e-07	2.185e-05	-1.9555	-8.3717	0	0	5.6798e-17	3.2122e-15
BARHL1	4	-0.030366	-0.40333	0.80943	0.98684	0.68671	0.98607	-0.034968	-0.45652	0.82515	0.99214	0.64801	0.90367	-0.10561	-1.3788	0.57957	0.94521	0.16796	0.47761
BARHL2	4	0.11361	0.93591	0.34971	0.92273	0.34932	0.87589	-0.09229	-0.74709	0.58546	0.99214	0.45501	0.78243	-0.034848	-0.2821	0.85658	0.98144	0.77787	0.89972
BARX2	4	0.065871	0.64984	0.5835	0.95899	0.51579	0.93876	-0.11264	-1.0922	0.52456	0.99214	0.27476	0.64349	-0.30166	-2.9249	0.23379	0.94521	0.0034455	0.039858
BASP1	4	-0.16039	-1.5258	0.2947	0.92273	0.12706	0.76907	0.098286	0.91923	0.54617	0.99214	0.35797	0.73343	0.057371	0.53657	0.7387	0.96923	0.59157	0.79764
BATF	4	-0.0078633	-0.048299	0.94106	0.99406	0.96148	0.99722	0.33135	1.9999	0.049116	0.45455	0.045506	0.30081	0.32008	1.9319	0.15128	0.94521	0.05337	0.25153
BATF2	4	0.09891	0.9945	0.39686	0.92273	0.31998	0.86175	-0.18533	-1.8319	0.36739	0.99214	0.066968	0.34431	-0.079481	-0.78561	0.66798	0.94521	0.43209	0.70492
BATF3	4	-0.22088	-1.5024	0.15521	0.82946	0.13299	0.76907	0.01288	0.086132	0.96071	0.99214	0.93136	0.98655	-0.15187	-1.0156	0.47937	0.94521	0.30982	0.62543
BAX	4	0.16165	1.2544	0.18664	0.82946	0.20971	0.81482	-0.051578	-0.39326	0.75442	0.99214	0.69413	0.92977	-0.20891	-1.5928	0.37525	0.94521	0.1112	0.40214
BAZ1A	4	-0.002237	-0.018572	0.97446	0.99406	0.98518	0.99722	0.08484	0.69226	0.62279	0.99214	0.48877	0.81037	0.12188	0.9945	0.48527	0.94521	0.31998	0.62543
BBX	4	0.10634	0.75474	0.37525	0.92273	0.45041	0.91193	0.2219	1.5477	0.1945	0.99214	0.12168	0.47024	0.10123	0.7061	0.55403	0.94521	0.48013	0.72659
BCAS2	4	0.21593	1.4135	0.074656	0.68421	0.1575	0.77833	0.046807	0.30111	0.778	0.99214	0.76333	0.95804	0.023203	0.14927	0.92141	0.98144	0.88134	0.94059
BCAS3	4	0.020873	0.18053	0.88016	0.98684	0.85674	0.99722	0.0079859	0.067903	0.97839	0.99214	0.94586	0.98655	-0.099914	-0.84955	0.59921	0.94521	0.39557	0.6858
BCCIP	4	-0.17984	-1.4308	0.23969	0.86525	0.15248	0.77398	0.070791	0.5537	0.6778	0.99214	0.57979	0.86435	0.034711	0.27149	0.8723	0.98144	0.78601	0.89972
BCHE	4	0.15146	1.1062	0.222	0.84559	0.26863	0.83734	-0.035887	-0.25764	0.81729	0.99214	0.79669	0.96322	-0.077761	-0.55825	0.67191	0.94521	0.57667	0.79426
BCKDK	4	-0.22254	-1.3682	0.15521	0.82946	0.17124	0.79237	0.33345	2.0134	0.049116	0.45455	0.044068	0.29908	0.0040053	0.02418	0.99804	0.99804	0.98071	0.99182
BCL10	4	-0.11713	-0.88997	0.44401	0.94286	0.37348	0.88833	0.41489	3.0981	0.013752	0.14583	0.0019479	0.02916	0.41105	3.0694	0.096267	0.94231	0.0021451	0.027297
BCL11A	4	0.23565	1.4646	0.051081	0.58696	0.14303	0.76907	-0.077326	-0.47234	0.65422	0.99214	0.63668	0.90367	0.087115	0.53214	0.62868	0.94521	0.59463	0.79797
BCL2	4	-0.1171	-1.1633	0.44401	0.94286	0.24472	0.82146	0.012452	0.12156	0.96071	0.99214	0.90325	0.98655	0.02385	0.23283	0.91552	0.98144	0.81589	0.91272
BCL2L10	4	-0.059022	-0.50694	0.66601	0.98133	0.61219	0.9806	0.052008	0.43849	0.76817	0.99214	0.66103	0.90691	0.25667	2.1644	0.19253	0.94521	0.03043	0.18955
BCL6	4	0.10096	0.84476	0.389	0.92273	0.39825	0.89101	-0.24625	-2.025	0.24558	0.99214	0.042865	0.29484	-0.27816	-2.2874	0.25933	0.94521	0.022173	0.15048
BCL9L	4	0.13039	0.82519	0.28487	0.91772	0.40926	0.89196	0.060482	0.37596	0.72102	0.99214	0.70695	0.93732	0.21788	1.3544	0.26719	0.94521	0.17562	0.48581
BCLAF1	4	-0.18921	-1.5428	0.21022	0.82946	0.12288	0.76907	0.045396	0.3636	0.78782	0.99214	0.71615	0.93848	0.25923	2.0767	0.19253	0.94521	0.037827	0.22131
BCORL1	4	0.0060728	0.05306	0.97839	0.99406	0.95768	0.99722	0.025581	0.21969	0.89784	0.99214	0.82612	0.96453	0.02404	0.20645	0.91552	0.98144	0.83644	0.91954
BDH1	4	0.10404	0.67202	0.37917	0.92273	0.50157	0.93537	0.08939	0.56731	0.59332	0.99214	0.5705	0.86168	0.22671	1.4388	0.25344	0.94521	0.15019	0.45778
BDP1	4	0.022298	0.19572	0.87623	0.98684	0.84483	0.99722	-0.22794	-1.9661	0.28094	0.99214	0.049291	0.31758	-0.040864	-0.35248	0.82711	0.98144	0.72448	0.86885
BEX1	4	0.11966	1.2342	0.32613	0.92273	0.21713	0.82146	-0.18163	-1.8412	0.36739	0.99214	0.065586	0.34416	-0.069058	-0.70005	0.70923	0.96011	0.4839	0.72659
BEX2	4	0.062633	0.57861	0.59725	0.95899	0.56286	0.96083	-0.091393	-0.82982	0.58939	0.99214	0.40664	0.74651	-0.011269	-0.10233	0.9391	0.98354	0.9185	0.95411
BHLHE40	4	0.28833	1.9681	0.021611	0.47826	0.049055	0.70903	-0.093561	-0.62692	0.5776	0.99214	0.53071	0.83117	-0.10706	-0.71735	0.57564	0.94521	0.47316	0.72659
BHLHE41	4	-0.22643	-2.422	0.15128	0.82946	0.015436	0.41352	0.1496	1.5728	0.36542	0.99214	0.11577	0.46769	0.33148	3.4849	0.14145	0.94521	0.00049234	0.0069611
BIN1	4	-0.040831	-0.22883	0.74853	0.9845	0.819	0.99722	0.30591	1.6835	0.062868	0.50794	0.09227	0.41563	0.45514	2.5048	0.084479	0.87755	0.012251	0.094482
BIN3	4	0.030971	0.28214	0.83104	0.98684	0.77783	0.99722	-0.098168	-0.8791	0.55992	0.99214	0.37935	0.7359	-0.034237	-0.3066	0.85855	0.98144	0.75915	0.8924
BIRC2	4	-0.031836	-0.26409	0.79961	0.98684	0.79171	0.99722	-0.028378	-0.23135	0.86051	0.99214	0.81704	0.96453	0.10937	0.89161	0.53242	0.94521	0.3726	0.67733
BIRC3	4	0.0034672	0.036423	0.99804	0.99804	0.97095	0.99722	-0.28689	-2.9617	0.18271	0.99214	0.0030594	0.042087	-0.25258	-2.6075	0.29077	0.94521	0.0091205	0.076104
BIVM	4	0.070774	0.63136	0.5501	0.95286	0.5278	0.94255	-0.12403	-1.0874	0.48919	0.99214	0.27687	0.64349	-0.2648	-2.3216	0.27898	0.94521	0.020256	0.14724
BLK	4	-0.006079	-0.057675	0.95285	0.99406	0.95401	0.99722	-0.12525	-1.1677	0.48723	0.99214	0.24293	0.61011	-0.15083	-1.4061	0.48134	0.94521	0.15968	0.46404
BLM	4	0.069627	0.32542	0.55403	0.95286	0.74486	0.99722	-1.016	-4.6677	0	0	3.0461e-06	7.3185e-05	-1.4837	-6.8159	0	0	9.3685e-12	2.1675e-10
BLVRB	4	0.11064	1.0922	0.36149	0.92273	0.27473	0.83734	-0.090902	-0.88209	0.59332	0.99214	0.37773	0.7359	0.020176	0.19578	0.92927	0.98144	0.84478	0.92434
BLZF1	4	0.13538	1.4621	0.2613	0.89262	0.14372	0.76907	-0.20064	-2.13	0.32809	0.99214	0.033172	0.2483	-0.037103	-0.3939	0.8389	0.98144	0.69366	0.85949
BMPR1A	4	-0.13798	-0.96151	0.36542	0.92273	0.33629	0.86298	0.30123	2.0634	0.072692	0.56061	0.039078	0.27824	0.31579	2.1631	0.15521	0.94521	0.030536	0.18955
BNC1	4	0.051975	0.37153	0.65619	0.98133	0.71024	0.98607	0.19236	1.3515	0.26523	0.99214	0.17652	0.55459	0.18256	1.2827	0.33202	0.94521	0.19959	0.50044
BNIP1	4	-0.057985	-0.4806	0.67583	0.98133	0.6308	0.98139	-0.0050608	-0.041226	0.97053	0.99214	0.96712	0.99201	0.033016	0.26895	0.88016	0.98144	0.78797	0.89972
BNIP2	4	-0.0048822	-0.041787	0.95678	0.99406	0.96667	0.99722	-0.051142	-0.4303	0.75639	0.99214	0.66698	0.91017	-0.17253	-1.4516	0.44008	0.94521	0.14662	0.45387
BOK	4	-0.0045896	-0.045472	0.96267	0.99406	0.96373	0.99722	0.17782	1.731	0.29273	0.99214	0.083444	0.39327	0.037877	0.36872	0.85265	0.98144	0.71233	0.86479
BOP1	4	0.1483	1.129	0.22397	0.84559	0.25892	0.83411	0.02162	0.16172	0.91945	0.99214	0.87152	0.98256	-0.14317	-1.0709	0.49705	0.94521	0.2842	0.60356
BORA	4	-0.076266	-0.74432	0.58939	0.95899	0.45668	0.91193	-0.010232	-0.098132	0.95285	0.99214	0.92183	0.98655	0.2064	1.9796	0.29077	0.94521	0.047743	0.24419
BRAP	4	-0.067481	-0.52432	0.63654	0.98133	0.60005	0.9806	0.1282	0.9793	0.42043	0.99214	0.32743	0.70096	0.10237	0.78195	0.55206	0.94521	0.43424	0.70616
BRCA1	4	0.024668	0.11117	0.8664	0.98684	0.91148	0.99722	-1.126	-4.9738	0	0	6.5641e-07	1.9654e-05	-1.5432	-6.8081	0	0	9.8906e-12	2.1888e-10
BRCA2	4	-0.04399	-0.18457	0.73674	0.98433	0.85356	0.99722	-1.3786	-5.6816	0	0	1.3344e-08	1.132e-06	-2.0808	-8.5688	0	0	1.0455e-17	8.8696e-16
BRCC3	4	0.066661	0.50088	0.57564	0.95899	0.61646	0.9806	0.022287	0.16464	0.91749	0.99214	0.86923	0.98256	0.011134	0.082251	0.96857	0.98814	0.93445	0.96088
BRD1	4	0.051101	0.456	0.66012	0.98133	0.64839	0.98139	-0.14701	-1.2896	0.42829	0.99214	0.19718	0.58014	-0.28171	-2.4712	0.25737	0.94521	0.013465	0.1023
BRD4	4	-0.0037159	-0.036128	0.96464	0.99406	0.97118	0.99722	0.21651	2.0678	0.21218	0.99214	0.03866	0.27824	0.019942	0.19045	0.93124	0.98144	0.84896	0.92434
BRD7	4	-0.006274	-0.052054	0.95285	0.99406	0.95849	0.99722	-3.358e-05	-0.00027376	0.98821	0.99214	0.99978	0.99978	0.043163	0.3519	0.81532	0.97887	0.72492	0.86885
BRD8	4	0.037337	0.38109	0.7721	0.98684	0.70314	0.98607	0.19471	1.9533	0.26326	0.99214	0.050784	0.32223	0.033305	0.3341	0.87819	0.98144	0.73831	0.87803
BRDT	4	-0.035311	-0.37324	0.78389	0.98684	0.70897	0.98607	0.099836	1.0375	0.54224	0.99214	0.2995	0.67454	-0.10254	-1.0656	0.58743	0.94521	0.2866	0.60532
BRF1	4	0.034412	0.3807	0.79961	0.98684	0.70343	0.98607	-0.2852	-3.1016	0.18664	0.99214	0.0019249	0.02916	-0.10039	-1.0917	0.59921	0.94521	0.27494	0.59991
BRF2	4	-0.1283	-1.1624	0.39882	0.92273	0.24507	0.82146	-0.0086301	-0.076866	0.95481	0.99214	0.93873	0.98655	0.11718	1.0437	0.50098	0.94521	0.29663	0.61375
BRIP1	4	0.022326	0.10866	0.87623	0.98684	0.91347	0.99722	-1.0427	-4.9889	0	0	6.0717e-07	1.9654e-05	-1.6695	-7.9865	0	0	1.3878e-15	6.4217e-14
BRIX1	4	0.055401	0.44074	0.64047	0.98133	0.6594	0.98139	0.0094035	0.073509	0.96857	0.99214	0.9414	0.98655	0.16821	1.315	0.3556	0.94521	0.18852	0.49312
BRMS1L	4	-0.10485	-1.2108	0.47937	0.95286	0.22599	0.82146	0.073696	0.83657	0.66798	0.99214	0.40284	0.74651	0.13205	1.499	0.45187	0.94521	0.13388	0.43166
BRPF3	4	-0.15159	-1.2033	0.32024	0.92273	0.22885	0.82146	0.17933	1.3994	0.2888	0.99214	0.16168	0.54383	0.097579	0.76149	0.5776	0.94521	0.44636	0.71672
BRSK1	4	0.029332	0.21363	0.8389	0.98684	0.83083	0.99722	0.1609	1.152	0.34185	0.99214	0.24932	0.61011	-0.11563	-0.82788	0.54617	0.94521	0.40774	0.69119
BRWD1	4	0.072575	0.88177	0.54224	0.95286	0.3779	0.88898	-0.099394	-1.1871	0.55992	0.99214	0.23518	0.61011	0.014874	0.17765	0.95088	0.98377	0.859	0.93028
BSPRY	4	-0.054221	-0.46595	0.69352	0.98133	0.64125	0.98139	-0.072642	-0.61339	0.67583	0.99214	0.53962	0.83567	0.08085	0.68274	0.64637	0.94521	0.49477	0.73637
BTBD8	4	-0.15283	-1.5845	0.31631	0.92273	0.11309	0.76907	0.052701	0.53714	0.76621	0.99214	0.59117	0.86467	0.24793	2.527	0.20629	0.94521	0.011506	0.091044
BTD	4	0.22096	1.69	0.068762	0.68421	0.091032	0.76049	-0.40461	-3.0399	0.074656	0.56716	0.0023669	0.033465	-0.34596	-2.5992	0.1945	0.94521	0.0093428	0.076701
BTK	4	0.26227	1.5092	0.031434	0.51515	0.13124	0.76907	-0.012243	-0.06921	0.95088	0.99214	0.94482	0.98655	0.14109	0.7976	0.42829	0.94521	0.4251	0.69891
BUD31	4	-0.12439	-1.2369	0.41847	0.93833	0.21611	0.82146	0.26397	2.5794	0.12574	0.84211	0.0098959	0.11193	0.13768	1.3453	0.44204	0.94521	0.17852	0.48776
BYSL	4	0.19599	1.5084	0.10413	0.76	0.13146	0.76907	0.018078	0.13658	0.9332	0.99214	0.89136	0.98603	-0.010295	-0.07778	0.94303	0.98361	0.938	0.96259
C10orf107	4	-0.084962	-0.9359	0.5442	0.95286	0.34932	0.87589	-0.038168	-0.41323	0.80747	0.99214	0.67944	0.91733	0.085099	0.92136	0.63261	0.94521	0.35686	0.66536
C10orf11	4	0.0877	0.86571	0.45383	0.94286	0.38665	0.88898	-0.16068	-1.559	0.40079	0.99214	0.119	0.47024	-0.18861	-1.83	0.4165	0.94521	0.067247	0.30215
C10orf12	4	-0.25622	-3.1114	0.10609	0.76	0.001862	0.067697	0.10862	1.2964	0.51277	0.99214	0.19484	0.5766	0.31418	3.7498	0.15717	0.94521	0.00017696	0.0026492
C10orf128	4	0.20395	1.8437	0.088409	0.74194	0.065223	0.73252	-0.26586	-2.3599	0.21611	0.99214	0.018279	0.18595	-0.076277	-0.67718	0.6778	0.94521	0.49829	0.73945
C10orf137	4	-0.18968	-1.4825	0.21022	0.82946	0.13821	0.76907	0.17482	1.3426	0.29273	0.99214	0.17941	0.55459	0.18745	1.4396	0.33006	0.94521	0.14999	0.45778
C10orf32	4	0.16429	1.0556	0.18075	0.82946	0.29115	0.84315	0.14085	0.8889	0.38703	0.99214	0.37406	0.7359	0.062006	0.39131	0.72888	0.96923	0.69557	0.85949
C10orf67	4	0.28656	1.9242	0.021611	0.47826	0.054327	0.70903	-0.22725	-1.4997	0.28291	0.99214	0.13368	0.48518	-0.24347	-1.6068	0.30452	0.94521	0.10809	0.40159
C11orf21	4	0.0002488	0.0023506	0.98232	0.99406	0.99812	0.99812	0.10352	0.9615	0.52456	0.99214	0.3363	0.70734	-0.094085	-0.87385	0.62672	0.94521	0.3822	0.67974
C11orf35	4	0.24199	1.8692	0.045187	0.58696	0.06159	0.71332	-0.25697	-1.9491	0.23576	0.99214	0.051278	0.32223	0.029028	0.2202	0.89194	0.98144	0.82572	0.91368
C11orf42	4	0.14647	1.0547	0.22593	0.84559	0.29154	0.84315	-0.031394	-0.22208	0.84086	0.99214	0.82425	0.96453	-0.11374	-0.80457	0.54617	0.94521	0.42107	0.69586
C11orf48	4	-0.0007618	-0.007234	0.97839	0.99406	0.99423	0.99812	0.055089	0.51433	0.75049	0.99214	0.60702	0.87792	-0.1243	-1.1605	0.52652	0.94521	0.24585	0.56624
C11orf52	4	0.20307	1.4699	0.090373	0.74194	0.1416	0.76907	-0.076822	-0.54657	0.65619	0.99214	0.58468	0.86435	-0.18303	-1.3022	0.4224	0.94521	0.19283	0.49322
C11orf57	4	0.030541	0.29444	0.83104	0.98684	0.76842	0.99722	-0.084053	-0.79636	0.63654	0.99214	0.42583	0.76051	0.075019	0.71079	0.66405	0.94521	0.47721	0.72659
C11orf65	4	-0.083204	-0.46105	0.55403	0.95286	0.64476	0.98139	0.34229	1.862	0.045187	0.45098	0.062598	0.33624	0.1518	0.82573	0.40275	0.94521	0.40896	0.69119
C11orf71	4	0.22468	1.5352	0.056974	0.61702	0.12473	0.76907	0.021411	0.14373	0.92338	0.99214	0.88572	0.98256	0.051468	0.3455	0.76228	0.97487	0.72972	0.86985
C11orf80	4	0.11388	1.1201	0.34774	0.92273	0.26266	0.83557	-0.10024	-0.96833	0.55796	0.99214	0.33288	0.70424	-0.2206	-2.1309	0.35363	0.94521	0.033101	0.19591
C11orf85	4	0.26709	2.0471	0.02947	0.51515	0.040651	0.70632	-0.18584	-1.3999	0.36739	0.99214	0.16154	0.54383	-0.30202	-2.2751	0.23379	0.94521	0.022902	0.15339
C11orf88	4	-0.10169	-0.9217	0.48919	0.95286	0.35669	0.88807	0.24886	2.2169	0.14931	0.91566	0.026631	0.22975	0.0936	0.83379	0.59528	0.94521	0.4044	0.69119
C11orf95	4	-0.055425	-0.51823	0.68566	0.98133	0.6043	0.9806	0.058889	0.54109	0.72888	0.99214	0.58844	0.86457	0.028212	0.25922	0.89784	0.98144	0.79546	0.89976
C11orf96	4	-0.034622	-0.33361	0.78782	0.98684	0.73867	0.99722	0.029183	0.27631	0.88016	0.99214	0.78231	0.96182	0.10435	0.98803	0.54617	0.94521	0.32314	0.62543
C12orf43	4	-0.1015	-0.99894	0.48919	0.95286	0.31782	0.86049	0.024154	0.23354	0.8998	0.99214	0.81535	0.96453	-0.14824	-1.4331	0.48134	0.94521	0.15183	0.45998
C12orf54	4	-0.055491	-0.46098	0.68566	0.98133	0.64481	0.98139	0.0039632	0.032356	0.99214	0.99214	0.97419	0.99218	-0.019651	-0.16043	0.90963	0.98144	0.87254	0.93895
C12orf57	4	0.029905	0.23722	0.8389	0.98684	0.81248	0.99722	0.10736	0.83684	0.51473	0.99214	0.40268	0.74651	0.11273	0.87867	0.51473	0.94521	0.37958	0.67802
C12orf60	4	-0.016335	-0.11695	0.87426	0.98684	0.9069	0.99722	0.10835	0.76255	0.51277	0.99214	0.44573	0.77433	0.00015383	0.0010826	0.98232	0.98814	0.99914	0.99964
C12orf75	4	-0.053651	-0.52746	0.69548	0.98133	0.59788	0.9806	-0.0838	-0.80979	0.63654	0.99214	0.41806	0.75263	-0.028841	-0.2787	0.87426	0.98144	0.78047	0.89972
C12orf76	4	0.055277	0.5571	0.64244	0.98133	0.57746	0.96686	-0.12319	-1.2207	0.49116	0.99214	0.22221	0.60034	-0.14219	-1.4089	0.49705	0.94521	0.15886	0.46404
C13orf45	4	-0.055548	-0.45893	0.68566	0.98133	0.64629	0.98139	0.018563	0.15069	0.9332	0.99214	0.88022	0.98256	-0.19643	-1.5943	0.39882	0.94521	0.11088	0.40214
C14orf1	4	0.10844	0.98297	0.36935	0.92273	0.32562	0.86298	0.04145	0.36925	0.79961	0.99214	0.71194	0.93848	0.12894	1.1487	0.46562	0.94521	0.25069	0.57219
C14orf132	4	0.15943	1.2685	0.19253	0.82946	0.2046	0.81482	0.0080942	0.063278	0.97839	0.99214	0.94954	0.98655	0.028716	0.22449	0.89391	0.98144	0.82237	0.91368
C14orf166B	4	0.16239	1.1343	0.18468	0.82946	0.25665	0.83383	-0.16331	-1.121	0.39489	0.99214	0.26229	0.62975	-0.22682	-1.5569	0.33988	0.94521	0.1195	0.42097
C14orf169	4	0.086621	0.78386	0.46562	0.948	0.43312	0.91016	-0.10037	-0.89302	0.55796	0.99214	0.37185	0.7359	-0.11515	-1.0245	0.54617	0.94521	0.3056	0.6222
C14orf180	4	-0.038462	-0.32047	0.76424	0.98684	0.74861	0.99722	0.15432	1.2636	0.34774	0.99214	0.20639	0.59157	0.1517	1.2421	0.40275	0.94521	0.2142	0.52157
C14orf80	4	-0.28947	-2.559	0.082515	0.72414	0.010498	0.33396	0.32309	2.8081	0.053045	0.46552	0.004983	0.064262	0.32758	2.8471	0.14538	0.94521	0.0044115	0.048209
C15orf38	4	-0.12073	-1.1977	0.43026	0.94286	0.23104	0.82146	0.28749	2.8038	0.10216	0.75362	0.0050501	0.064262	0.15055	1.4683	0.40864	0.94521	0.14202	0.4518
C15orf40	4	0.097887	0.95785	0.39686	0.92273	0.33814	0.86298	0.03612	0.34737	0.85069	0.99214	0.72831	0.94569	-0.31553	-3.0343	0.222	0.94521	0.0024107	0.029339
C15orf43	4	0.043867	0.42825	0.71709	0.98133	0.66847	0.98607	-0.043333	-0.4159	0.778	0.99214	0.67748	0.91712	-0.051214	-0.49155	0.778	0.97602	0.62304	0.82371
C15orf56	4	-0.023641	-0.2077	0.84479	0.98684	0.83546	0.99722	0.050834	0.43898	0.76817	0.99214	0.66068	0.90691	-0.17966	-1.5514	0.42436	0.94521	0.12081	0.42097
C15orf60	4	0.13408	0.89343	0.26916	0.89542	0.37163	0.88807	0.052119	0.34136	0.76817	0.99214	0.73284	0.94747	0.043135	0.28252	0.81729	0.97887	0.77755	0.89972
C16orf52	4	0.10123	0.86731	0.389	0.92273	0.38577	0.88898	0.040438	0.3406	0.80943	0.99214	0.7334	0.94747	-0.019515	-0.16437	0.90963	0.98144	0.86944	0.93759
C16orf55	4	0.22147	1.7782	0.068762	0.68421	0.075371	0.75388	-0.023018	-0.18155	0.88016	0.99214	0.85593	0.98124	-0.16675	-1.3152	0.44794	0.94521	0.18844	0.49312
C16orf58	4	0.020355	0.16122	0.88212	0.98684	0.87192	0.99722	-0.32942	-2.564	0.14342	0.89024	0.010347	0.1145	-0.14074	-1.0955	0.49902	0.94521	0.27328	0.59991
C16orf59	4	-0.042432	-0.3038	0.74067	0.98433	0.76128	0.99722	-0.039816	-0.28018	0.79568	0.99214	0.77934	0.96049	-0.0465	-0.32722	0.78978	0.97602	0.7435	0.88215
C16orf71	4	-0.22818	-2.1464	0.14538	0.82946	0.031841	0.67041	0.16159	1.4943	0.33988	0.99214	0.1351	0.48518	0.24855	2.2985	0.20432	0.94521	0.021534	0.14816
C16orf86	4	-0.17159	-1.3849	0.26916	0.89542	0.16607	0.78469	0.097146	0.77069	0.55206	0.99214	0.44089	0.77378	0.19844	1.5744	0.30648	0.94521	0.1154	0.41077
C16orf93	4	-0.1248	-1.0856	0.41454	0.93363	0.27764	0.84119	-0.22451	-1.9174	0.28684	0.99214	0.055191	0.32926	-0.0020128	-0.017195	0.97839	0.98814	0.98628	0.99409
C16orf96	4	-0.025769	-0.17994	0.83104	0.98684	0.8572	0.99722	0.27178	1.8649	0.12181	0.84211	0.0622	0.33624	0.28729	1.9713	0.16896	0.94521	0.04869	0.24419
C16orf97	4	-0.058632	-0.59719	0.66601	0.98133	0.55038	0.95287	0.12547	1.2565	0.42633	0.99214	0.20895	0.59157	0.029157	0.29197	0.89194	0.98144	0.77031	0.89929
